STAGE 1 Parameters:
Fuel mass (kg): 5600
Dry mass (kg): 1200
Fuel fract: 0.8235294117647058
Isp @ SL: 226
Burn time (sec): 137.90398151982043
Thrust (N): 90030.294
dM/dt: 40.60796460176991

TIME,HEIGHT,VELOCITY,MASS,THRUST,DRAG,GAMMA,RANGE
2.800,10.351,7.484,7186.298,90390.362,2.900,1.571,0.000,
2.900,11.113,7.762,7182.237,90390.358,3.126,1.571,0.000,
3.000,11.903,8.040,7178.176,90390.353,3.362,1.571,0.000,
3.100,12.721,8.319,7174.115,90390.349,3.607,1.571,0.000,
3.200,13.567,8.598,7170.055,90390.344,3.861,1.571,0.000,
3.300,14.441,8.879,7165.994,90390.340,4.125,1.571,0.000,
3.400,15.343,9.160,7161.933,90390.335,4.398,1.571,0.000,
3.500,16.273,9.441,7157.872,90390.330,4.680,1.571,0.000,
3.600,17.231,9.724,7153.811,90390.325,4.972,1.571,0.000,
3.700,18.218,10.007,7149.751,90390.319,5.273,1.571,0.000,
3.800,19.233,10.291,7145.690,90390.314,5.584,1.571,0.000,
3.900,20.276,10.576,7141.629,90390.308,5.904,1.571,0.000,
4.000,21.348,10.861,7137.568,90390.303,6.235,1.571,0.000,
4.100,22.448,11.147,7133.507,90390.297,6.575,1.571,0.000,
4.200,23.577,11.434,7129.447,90390.291,6.925,1.571,0.000,
4.300,24.735,11.721,7125.386,90390.284,7.285,1.571,0.000,
4.400,25.921,12.009,7121.325,90390.278,7.654,1.571,0.000,
4.500,27.137,12.298,7117.264,90390.272,8.034,1.571,0.000,
4.600,28.381,12.588,7113.203,90390.265,8.424,1.571,0.000,
4.700,29.654,12.878,7109.143,90390.258,8.824,1.571,0.000,
4.800,30.957,13.169,7105.082,90390.251,9.235,1.571,0.000,
4.900,32.288,13.461,7101.021,90390.244,9.655,1.571,0.000,
5.000,33.649,13.753,7096.960,90390.237,10.086,1.571,0.000,
5.100,35.039,14.047,7092.899,90390.229,10.528,1.570,0.000,
5.200,36.458,14.341,7088.839,90390.222,10.980,1.570,0.001,
5.300,37.907,14.635,7084.778,90390.214,11.442,1.569,0.004,
5.400,39.385,14.931,7080.717,90390.206,11.915,1.568,0.007,
5.500,40.893,15.227,7076.656,90390.198,12.399,1.568,0.011,
5.600,42.430,15.524,7072.595,90390.190,12.893,1.567,0.016,
5.700,43.998,15.821,7068.535,90390.182,13.398,1.567,0.022,
5.800,45.595,16.119,7064.474,90390.173,13.914,1.566,0.029,
5.900,47.221,16.418,7060.413,90390.165,14.441,1.565,0.038,
6.000,48.878,16.718,7056.352,90390.156,14.979,1.565,0.047,
6.100,50.565,17.019,7052.291,90390.147,15.528,1.564,0.058,
6.200,52.282,17.320,7048.231,90390.138,16.088,1.563,0.070,
6.300,54.029,17.622,7044.170,90390.129,16.659,1.563,0.084,
6.400,55.806,17.925,7040.109,90390.119,17.241,1.562,0.098,
6.500,57.614,18.228,7036.048,90390.110,17.835,1.562,0.114,
6.600,59.452,18.532,7031.987,90390.100,18.440,1.561,0.131,
6.700,61.320,18.837,7027.927,90390.090,19.056,1.560,0.150,
6.800,63.219,19.143,7023.866,90390.080,19.684,1.560,0.170,
6.900,65.148,19.449,7019.805,90390.070,20.324,1.559,0.192,
7.000,67.108,19.756,7015.744,90390.060,20.975,1.559,0.215,
7.100,69.099,20.064,7011.683,90390.050,21.637,1.558,0.240,
7.200,71.121,20.373,7007.623,90390.039,22.312,1.557,0.267,
7.300,73.173,20.682,7003.562,90390.028,22.998,1.557,0.295,
7.400,75.257,20.992,6999.501,90390.017,23.696,1.556,0.325,
7.500,77.372,21.303,6995.440,90390.006,24.406,1.556,0.356,
7.600,79.517,21.615,6991.379,90389.995,25.128,1.555,0.389,
7.700,81.694,21.927,6987.319,90389.984,25.862,1.554,0.425,
7.800,83.902,22.240,6983.258,90389.973,26.608,1.554,0.462,
7.900,86.141,22.554,6979.197,90389.961,27.366,1.553,0.500,
8.000,88.412,22.869,6975.136,90389.949,28.136,1.553,0.541,
8.100,90.714,23.184,6971.075,90389.938,28.919,1.552,0.584,
8.200,93.048,23.500,6967.015,90389.926,29.714,1.551,0.629,
